20060111  062810.000
 
TOMS392_PRB
  Test TOMS algorithm 392, which approximates
  the time evolution of a system governed
  by hyperpolic PDE's.
1
 
       X               Y               U               V
1
    0.402939        0.491547         1.41236         2.63811    
    0.418952        0.498332         1.45331         2.67091    
    0.435051        0.505144         1.49534         2.70413    
    0.451275        0.512046         1.53918         2.73772    
    0.467521        0.518911         1.58304         2.77183    
    0.483894        0.525887         1.62878         2.80630    
    0.500348        0.532858         1.67554         2.84127    
    0.516916        0.539921         1.72395         2.87661    
    0.533579        0.547000         1.77368         2.91244    
    0.550341        0.554155         1.82477         2.94870    
    0.567175        0.561296         1.87697         2.98547    
    0.584159        0.568557         1.93124         3.02264    
    0.601207        0.575792         1.98656         3.06033    
    0.618385        0.583130         2.04376         3.09846    
    0.635664        0.590469         2.10248         3.13710    
    0.653060        0.597891         2.16299         3.17620    
    0.670563        0.605326         2.22524         3.21579    
    0.688185        0.612824         2.28925         3.25589    
    0.705908        0.620345         2.35501         3.29651    
    0.723767        0.627935         2.42287         3.33761    
